desc;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.85;0.9;0.95;0.975;0.99;bestThr;Prec;Rec;F1;Runtime
StdBlock String-LogReg;0.8424068767908308; 0.8424068767908308; 0.8448275862068965; 0.8448275862068965; 0.8414985590778099; 0.838150289017341; 0.8269794721407624; 0.797583081570997; 0.7272727272727272; 0.6370370370370371; 0.0; 0.0; 0.0;0.3;0.8963;0.7989;0.8448;15:28
StdBlock String-Tree;0.8481375358166189; 0.8481375358166189; 0.8481375358166189; 0.8448275862068965; 0.8369230769230769; 0.8369230769230769; 0.8369230769230769; 0.8369230769230769; 0.8369230769230769; 0.7017543859649122; 0.7017543859649122; 0.7017543859649122; 0.7017543859649122;0.3;0.897;0.8043;0.8481;16:55
StdBlock TitAut-LogReg;0.8853333333333334; 0.8877005347593583; 0.894878706199461; 0.894878706199461; 0.8943089430894309; 0.8937329700272479; 0.8746518105849581; 0.8347826086956522; 0.7331189710610931; 0.6370370370370371; 0.0; 0.0; 0.0;0.4;0.8877;0.9022;0.8949;01:45:00
